date,Information Technology,Health Care,Financials,Consumer Discretionary,Industrials,Communication Services,Consumer Staples,Energy,Materials,Utilities,Real Estate
2025-07-01,0.03688809646983738,0.012800626711878258,0.034832694632589346,0.04031464513590839,0.019678509669565976,0.027152045338250278,0.0019446959204282958,0.0310041150496959,0.033019573934904595,0.03114835030710806,-0.00034464968418511724
2025-08-01,-0.03542576274703046,0.004317465554377044,-0.03647703172912764,-0.03229748956347154,-0.0011202801824660978,0.03376230106943274,-0.008430012702141533,0.0074435906014351395,0.0009805096378292695,-0.01682956372166084,0.011323919577568092
2025-09-01,0.004495316102371187,0.005801538746977485,0.010734574698461858,0.047170729216729136,0.013476219120108514,-0.018487360557767195,0.040347944344659485,0.03061905650447414,-0.004467882781953134,0.04670503405693722,0.007042171458344709
2025-10-01,0.0680136228099497,0.0660969754847863,0.07975053839933559,0.07500378749925889,0.04844312148752365,0.0853592443438255,0.05137379845980235,0.05733733216318597,0.06839091674733667,0.009869635585130938,0.08268958379259155
2025-11-01,-0.02182767764396193,-0.013173988538969523,0.013266583112081426,-0.015177801992839302,0.014816074709503852,0.00037480637582998615,-0.01148319181814751,-0.029536936331048383,-0.00016153079011290957,0.010985767632092015,-0.01668966708842482
2025-12-01,0.004714646632243173,-0.006994531532137674,0.0019253395180354657,0.01059495184325669,0.025691048379550878,-0.007345625287284572,0.009377787781588428,-0.00964183690547768,0.0478993639717385,0.0430580994633176,-0.007465339032588929
2026-01-01,0.06368330800291579,0.04845910348266338,0.07597239823456042,0.10602220559427382,0.07328673581970377,0.07300372815100571,0.04820108419015299,0.05719737102773072,0.06732129332467321,0.01933195543854885,0.06964672881261515
2026-02-01,0.01625592351432797,0.06993834448137766,0.03654505417094222,0.0650624693816636,0.060702916582262664,-0.0010539891259015027,0.04452620276863342,0.018782104865072344,0.044728336012788604,0.009957609449308558,0.004405755545908163
2026-03-01,0.016917153625423287,-0.00943207361654705,-0.041427312788486444,-0.029719120989330473,-0.004085203708315307,-0.015172413194148325,-0.021047395911855803,-0.012926792126978462,-0.011473210831502953,-0.003935409188816123,-0.0035350328859659764
2026-04-01,0.029642235995223656,0.004092822902804792,0.018275757749888277,0.029458634575102016,0.018285126738508035,0.03684465317367352,0.012753318201279718,0.0348131787053855,0.006328840991047947,0.00626680787656724,0.048419656393227505
2026-05-01,-0.010766649775614786,0.007494696686440065,-0.020803153902944092,-0.006018780626926909,-0.0038356309879551357,0.019021173182331833,-0.014691023075767171,0.02824068108296196,0.012319748577801923,-0.03680845786319682,-0.04005219547559842
2026-06-01,-0.04071853238850095,-0.03345168462080918,0.009450335367287012,0.006755874371074855,0.019600081679368594,-0.020994594508283223,-0.03617927255546905,-0.006074714871892468,0.004409470510925209,-0.004474795082425105,-0.0042792154364616215
